Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr3	46833406	46834863	1458	14	Island;Shore	Strong transcription;Genic enhancers	Strong transcription	PRSS42	-0.0134	-0.00600714285714286	1.52389737188096e-55	7.78942257897475e-14	5.43899226419618e-60
chr2	178775820	178776815	996	2	Open sea	Transcr. at gene 5' and 3';Strong transcription;Genic enhancers	Transcr. at gene 5' and 3'	TTN;TTN-AS1	-0.0195	-0.0194	3.24269203636408e-60	1.59370179997953e-36	7.02662034409436e-60
chr5	181197198	181201854	4657	18	Shore;Shelf	Strong transcription;Genic enhancers	Strong transcription;Genic enhancers	TRIM7;CTC-338M12.6	-0.009	-0.00363333333333333	6.66252955468461e-36	2.54613101248988e-14	3.11362206299395e-59
chr10	1021479	1022822	1344	8	Open sea	Strong transcription;Transcr. at gene 5' and 3'	Strong transcription;Flanking Active TSS	IDI2-AS1;IDI2	-0.0109	-0.0063	1.79673959651483e-48	7.71054949946959e-21	6.27946684754798e-59
chr1	228283100	228283307	208	3	Shelf	Genic enhancers	Genic enhancers		-0.0194	-0.0151	3.65309181788437e-60	1.17701550757723e-23	7.55776192455415e-59
chr4	184803414	184807107	3694	13	Island;Shore;Shelf	Transcr. at gene 5' and 3';Flanking Active TSS;Active TSS;NA	Flanking Active TSS;Active TSS;Enhancers	ACSL1	-0.0152	-0.00683076923076923	1.110705225981e-47	1.10864628679295e-19	8.80661741165879e-59
chr19	1270276	1271371	1096	9	Shore	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	CIRBP-AS1;CIRBP	-0.0103	-0.00536666666666667	2.39981573234071e-46	8.45864395712629e-16	1.0235451847125e-58
chr6	63571533	63572728	1196	13	Shore;Island	Flanking Active TSS;Active TSS	Active TSS;Flanking Active TSS	RP5-1148A21.3;PTP4A1	-0.0108	-0.0039	4.03807266473513e-28	2.4321559301453e-16	1.47667442175203e-58
chr3	52230915	52232415	1501	6	Open sea	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Transcr. at gene 5' and 3'	RP11-330H6.5;TWF2	-0.0153	-0.00921666666666667	1.05994260221622e-51	7.75365678630638e-18	1.58401078266217e-58
chr19	35032563	35032712	150	3	Island	Flanking Active TSS	Flanking Active TSS	SCN1B	-0.0196	-0.0123	6.0659719202852e-56	1.0524837e-34	6.41342558369778e-58
chr4	176276795	176277748	954	3	Open sea	Enhancers;Flanking Active TSS	Active TSS;Flanking Active TSS	ASB5	-0.0199	-0.0133666666666667	2.93092606191299e-41	3.961494e-43	1.71547603001484e-57
chr2	27312574	27313057	484	2	Shelf;Open sea	Weak transcription	Weak transcription	MPV17	-0.0224	-0.0172	1.29802130379043e-55	1.4338706e-41	2.55386411429867e-57
chr8	141299097	141300934	1838	10	Open sea	Enhancers;Flanking Active TSS;Weak Repressed PolyComb	Enhancers;Weak transcription	SLC45A4	-0.0139	-0.00594	4.38088347600527e-42	1.50402920024529e-15	2.90193982212976e-57
chr6	31630053	31635757	5705	58	Shore;Island;Shelf	Strong transcription	Strong transcription	PRRC2A;MIR6832	-0.009	-0.000253448275862069	6.00067332755367e-24	1.45435768956974e-14	4.52217541053748e-57
chr13	112841758	112844946	3189	17	Shore;Island	Enhancers;Genic enhancers;Transcr. at gene 5' and 3';Strong transcription	Enhancers;NA;Weak transcription;Strong transcription	ATP11A	0.0084	0.00506470588235294	2.97567638372477e-52	3.99415383988536e-10	5.06994828511935e-57
chr7	128844952	128845052	101	3	Shelf	Genic enhancers	Genic enhancers		-0.0154	-0.0126333333333333	1.538221540204e-57	2.91579546145012e-26	5.23975818485886e-57
chr2	96839043	96840049	1007	7	Shore;Island	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	ANKRD39;ANKRD23	-0.0099	-0.00605714285714286	1.50759993270346e-51	3.0770597503239e-22	6.35324597986211e-57
chr1	6584302	6586095	1794	10	Open sea	Enhancers;Flanking Active TSS;Genic enhancers	Weak transcription;Enhancers	ZBTB48	-0.0104	-0.00446	3.13621201249612e-37	1.20448935796969e-19	1.04873903793856e-56
chr17	1649675	1651282	1608	12	Island;Shore	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	RILP;SMYD4;PRPF8	-0.0087	-0.003825	1.6712044498342e-29	9.53350438001713e-22	2.56383725343028e-56
chr8	37698867	37700338	1472	5	Shore	Transcr. at gene 5' and 3';Flanking Active TSS	Transcr. at gene 5' and 3';Active TSS	ZNF703	-0.0137	-0.00732	3.79390070527892e-39	1.247551e-37	2.65135335181684e-56
chr17	29042251	29043969	1719	10	Open sea	Weak Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent Enhancer	Enhancers;Quiescent/Low	PIPOX;TIAF1	0.0164	0.00434	1.11830553095955e-27	2.442665e-46	3.65040126936303e-56
chr16	2209921	2213911	3991	22	Shelf;Shore;Island	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	BRICD5;RP11-304L19.8;PGP	-0.0163	-0.00333181818181818	1.94642344141165e-42	9.6851062e-30	5.23711742277933e-56
chr2	237858121	237860775	2655	18	Shore;Island	Weak Repressed PolyComb;Flanking Active TSS;Active TSS	Quiescent/Low;Enhancers;Flanking Active TSS;Flanking Bivalent TSS/Enh;Active TSS;Bivalent/Poised TSS	RAMP1	-0.0114	-0.00405555555555556	9.3588804611813e-35	2.71568335115485e-17	6.28533476433752e-56
chr17	63972677	63974594	1918	11	Open sea	Strong transcription;Genic enhancers;Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	SCN4A;CTC-264K15.6	-0.0093	-0.0043	6.30941654655162e-34	6.56158535617881e-17	7.56257979596611e-56
chr22	41513966	41515730	1765	7	Open sea	Transcr. at gene 5' and 3';Genic enhancers	Flanking Active TSS;Genic enhancers	ACO2	-0.0115	-0.00704285714285714	9.78683010385603e-52	5.79485534436882e-14	1.01751184612683e-55
chr5	194414	196046	1633	12	Shore;Island	Transcr. at gene 5' and 3';Genic enhancers	Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	CTD-2083E4.7;LRRC14B	-0.0131	-0.00598333333333333	4.15490439969181e-44	5.31070979600171e-15	1.04766842347405e-55
chr8	141420298	141422182	1885	14	Shelf	Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	PTP4A3	-0.0103	-0.00441428571428571	4.7835623069133e-38	7.77351759948958e-23	2.16137136599028e-55
chr11	47576622	47578528	1907	11	Shore	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	NDUFS3;RP11-76I23.7;RNU5E-10P;KBTBD4	-0.0133	-0.00467272727272727	4.8336389161055e-30	2.14258201569325e-22	2.700274650383e-55
chr17	79080009	79080531	523	5	Open sea	Genic enhancers	Strong transcription	ENGASE	-0.0143	-0.00982	1.66846484015053e-57	4.95980015099287e-15	2.96936198541611e-55
chr4	8124577	8126155	1579	7	Open sea	Transcr. at gene 5' and 3';Flanking Active TSS	Transcr. at gene 5' and 3';Flanking Active TSS	ABLIM2	-0.0158	-0.0113285714285714	2.89902443503306e-53	1.26957056536559e-13	8.48679960778656e-55
chr18	58628861	58629374	514	10	Open sea	Flanking Active TSS	Flanking Active TSS	ALPK2	-0.0086	-0.00536	2.13678284442836e-52	5.83100274426442e-16	1.4710339057262e-54
chr6	30713815	30717525	3711	33	Shelf;Shore;Island	Strong transcription;Weak transcription;Flanking Active TSS;Active TSS	Strong transcription;Genic enhancers;Weak transcription;Active TSS;Flanking Active TSS	MDC1	-0.0181	-0.00332727272727273	6.54374663871924e-23	1.31943438360226e-19	1.63737510546896e-54
chr15	72319783	72321085	1303	17	Island;Shore	Weak Repressed PolyComb;Flanking Active TSS;Enhancers	Weak transcription;Flanking Active TSS;Enhancers;Quiescent/Low	RP11-106M3.2;RP11-106M3.3;CELF6	0.0168	0.00365294117647059	9.99916946609928e-22	2.41445528320755e-22	2.30612309182951e-54
chr19	18461567	18461889	323	5	Shore;Island	Transcr. at gene 5' and 3'	Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers	ELL	-0.0119	-0.00894	2.56636334865912e-51	1.09202305387058e-18	2.79929608102546e-54
chr16	66921969	66922338	370	6	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	RRAD	-0.0097	-0.00641666666666667	2.02803317661363e-55	1.69509839549817e-18	3.32590022985967e-54
chr6	32976289	32978284	1996	14	Shelf;Open sea	Genic enhancers	Genic enhancers		-0.0108	-0.00467142857142857	5.83761820211888e-48	2.08600668976497e-10	5.63723764040196e-54
chr1	15728350	15730667	2318	8	Shore;Shelf	Genic enhancers;Strong transcription	Genic enhancers;Strong transcription	RP11-288I21.1;PLEKHM2	-0.0153	-0.006525	4.34279139179653e-36	7.31413759999997e-28	1.70646815725752e-53
chr16	10939812	10941191	1380	9	Shore	Flanking Active TSS	Flanking Active TSS	DEXI;RP11-876N24.4;RP11-876N24.5	-0.0151	-0.00704444444444444	7.9926829832296e-41	6.76521089981482e-22	2.75609064671865e-53
chr7	851094	852067	974	7	Shelf;Open sea	Strong transcription;Genic enhancers	Weak transcription;Genic enhancers;Strong transcription	SUN1	-0.0188	-0.0103142857142857	6.96743514597999e-46	3.15884456499941e-19	3.02271595822214e-53
chr3	42691960	42692266	307	2	Open sea	Genic enhancers	Genic enhancers		-0.0158	-0.0113	2.43081224527771e-52	1.1269282e-35	8.04875651623392e-53
chr10	29602008	29603719	1712	6	Open sea	Enhancers	Enhancers;Genic enhancers		-0.0137	-0.00963333333333333	2.0555065527942e-53	8.09536707088822e-14	8.30717848428091e-53
chr12	128800808	128803096	2289	7	Open sea	Genic enhancers;Enhancers;Flanking Active TSS	Genic enhancers;Enhancers	SLC15A4	-0.0139	-0.00801428571428571	4.25127085319983e-37	2.2100001e-30	8.33986997291968e-53
chr7	101153273	101155085	1813	12	Shore;Island	Weak Repressed PolyComb;Flanking Active TSS;Active TSS	Weak Repressed PolyComb;Flanking Active TSS;Active TSS	AP1S1	0.0107	0.00193333333333333	2.19524406434608e-07	1.06541315992991e-37	1.24826383794626e-52
chr16	46747163	46749105	1943	11	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS	MYLK3	-0.0104	-0.00501818181818182	2.38668832336846e-52	2.68158651056487e-12	1.71039816057109e-52
chr8	24911288	24915634	4347	29	Shelf;Shore;Island	Weak Repressed PolyComb;Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Bivalent Enhancer	RP11-624C23.1;NEFM;GS1-72M22.1	0.0107	0.00383793103448276	2.9392450825505e-33	6.9854335218906e-09	3.48134806907057e-52
chr1	228274150	228274614	465	5	Shore;Island	Genic enhancers	Genic enhancers		-0.0142	-0.00964	1.28680666926633e-49	1.86340480539607e-21	4.26399542259301e-52
chr1	54402885	54403697	813	4	Shelf;Shore	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Flanking Active TSS	SSBP3	-0.0088	-0.0071	9.90943792334906e-48	1.5820836e-31	8.15255269528372e-52
chr1	1217166	1219645	2480	11	Island;Shore	Genic enhancers;Strong transcription	Weak transcription;Strong transcription	SDF4	0.0139	0.00665454545454545	1.58612406187771e-44	9.05763647616943e-13	1.1164310235218e-51
chr19	1274060	1275167	1108	5	Shore;Island	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Flanking Active TSS	C19orf24;CIRBP	-0.0197	-0.00798	3.15083285692472e-25	1.12912586850037e-28	1.6690046663331e-51
chr8	17721984	17723440	1457	8	Open sea	Enhancers	Enhancers;Weak transcription	MTUS1	-0.0095	-0.0053625	6.53620220059137e-38	1.65521983634778e-19	1.81950241579877e-51
chr17	29073612	29077107	3496	14	Open sea;Shelf	Strong transcription;Genic enhancers	Strong transcription;Genic enhancers	MYO18A;TIAF1	-0.0138	-0.00445	6.24850822833386e-30	1.74676674688783e-18	3.52488293662333e-51
chr2	127068358	127068572	215	3	Open sea	Genic enhancers;Transcr. at gene 5' and 3'	Enhancers;Flanking Active TSS	ENSG00000260634;MAP3K2;BIN1	-0.0109	-0.00696666666666667	6.94159458803457e-42	6.512895e-40	4.47644990651157e-51
chr12	71440685	71443394	2710	8	Shore;Shelf	Flanking Bivalent TSS/Enh;Active TSS;Weak transcription	Bivalent/Poised TSS;Weak Repressed PolyComb	TSPAN8;LGR5	-0.0122	-0.0062375	5.07239011354198e-33	4.92151669206491e-20	4.90260597887294e-51
chr16	67161573	67167815	6243	29	Shore;Island	Flanking Active TSS;Flanking Bivalent TSS/Enh;Enhancers;Genic enhancers	Flanking Active TSS;Enhancers;Active TSS;Weak transcription;Genic enhancers;Flanking Bivalent TSS/Enh	TRADD;FBXL8;HSF4;RP11-5A19.5	0.0116	0.000558620689655172	2.02551236192081e-27	5.81703459999811e-24	5.30002842366146e-51
chr1	221736868	221739890	3023	10	Open sea;Shelf	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Transcr. at gene 5' and 3'	DUSP10	-0.016	-0.00907	9.87209430913174e-52	3.40216248808937e-13	6.44516065804713e-51
chr15	99138031	99139162	1132	3	Open sea	Genic enhancers;Enhancers	Genic enhancers		-0.0108	-0.0106333333333333	1.3473476989118e-51	8.81600660045396e-24	8.18056430092333e-51
chr5	141430483	141432074	1592	18	Shore;Island	ZNF genes & repeats;Flanking Active TSS	Active TSS;Transcr. at gene 5' and 3';Flanking Bivalent TSS/Enh;Bivalent Enhancer	PCDHGB5;PCDHGA6;PCDHGA12;PCDHGB6;PCDHGA7;PCDHGB7;PCDHGA8;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA3;PCDHGB3;PCDHGA4;PCDHGA10;PCDHGB4;PCDHGA5;PCDHGA11	0.0105	0.00465	1.91298845329157e-48	1.31153061808543e-07	8.79115509119531e-51
chr10	73653406	73654016	611	5	Open sea	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	RP11-464F9.21;SYNPO2L	-0.0136	-0.0083	1.09892971507095e-44	1.53513355812685e-18	1.15475959873039e-50
chr17	2421499	2421848	350	5	Open sea	Weak transcription	Weak transcription	METTL16	-0.0108	-0.00834	1.67109722478111e-48	2.04308614834978e-19	1.16958260446437e-50
chr7	100892360	100894564	2205	13	Island;Shore	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Flanking Bivalent TSS/Enh	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	ACHE	-0.011	-0.00496153846153846	5.73090984797486e-36	8.96851782731804e-13	1.25042303066544e-50
chr1	1540888	1543446	2559	15	Island;Shore;Shelf	Flanking Active TSS;Genic enhancers	Flanking Active TSS;Genic enhancers	TMEM240	-0.0202	-0.00238666666666667	1.91725415529496e-28	1.26398397808918e-20	1.67354834505286e-50
chr15	42155641	42158140	2500	10	Open sea	Enhancers;Flanking Active TSS	Flanking Active TSS;Enhancers	PLA2G4F	-0.0098	-0.00422	3.02611806458942e-36	8.33136545120986e-20	2.59831444603879e-50
chr10	1025144	1027276	2133	8	Open sea	Transcr. at gene 5' and 3';Active TSS;Flanking Active TSS;Enhancers	Flanking Active TSS;Active TSS;Weak transcription;Enhancers	IDI2-AS1;IDI2	-0.0165	-0.0084125	1.23833821685223e-45	3.35449588312188e-14	3.12570891211667e-50
chr2	96842704	96845450	2747	10	Shelf;Open sea	Transcr. at gene 5' and 3';Active TSS;Flanking Active TSS;Weak transcription	Active TSS;Flanking Active TSS;Weak transcription	ANKRD39;ANKRD23	-0.0097	-0.00411	1.33548303184564e-23	6.646493e-46	3.71522693520728e-50
chr8	22548658	22549586	929	2	Shelf;Shore	Flanking Active TSS	Flanking Active TSS	SORBS3	-0.0133	-0.01075	3.3223576572128e-49	6.029898e-34	1.00404005205883e-49
chr3	42685147	42686548	1402	12	Shore;Island	Flanking Active TSS;Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Enhancers	KLHL40	-0.0163	-0.00394166666666667	9.78679904701459e-20	5.20200599744808e-27	1.00692485908744e-49
chr15	40331512	40332788	1277	5	Open sea	Weak transcription;Enhancers	Enhancers;Weak transcription	C15orf52;RNA5SP392	-0.0152	-0.01026	1.0773343968786e-44	4.44924542830519e-21	1.56678592732454e-49
chr11	3643772	3645431	1660	6	Shore;Shelf	Enhancers;Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS;Active TSS	ART1	-0.0144	-0.00905	8.37227936093084e-49	2.25062195508373e-15	1.65670151795452e-49
chr8	144502754	144506025	3272	25	Shore;Island	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Active TSS;Genic enhancers	CTD-2517M22.14;GPT	-0.0116	-0.00338	2.46574307503419e-36	2.77599849756352e-15	1.66179712206692e-49
chr19	10636465	10636651	187	3	Island	Strong transcription	Strong transcription	SLC44A2	-0.0086	-0.00446666666666667	2.88273227864858e-33	3.654459e-40	2.36828999852977e-49
chr5	150658635	150662779	4145	11	Shore;Shelf;Open sea	Flanking Active TSS;Enhancers;Active TSS	Flanking Active TSS	SYNPO;MYOZ3	-0.0114	-0.00431818181818182	7.37625161186885e-33	1.74332587103001e-19	2.38717909376353e-49
chr2	27378220	27379992	1773	10	Shore;Island	Genic enhancers;Strong transcription;Weak transcription;Flanking Active TSS	Genic enhancers;Weak transcription;Flanking Active TSS	ZNF513	-0.0092	-0.0041	2.01095790000263e-36	5.60405690638589e-12	2.42073153768226e-49
chr7	151185495	151188878	3384	21	Open sea	Flanking Active TSS;Transcr. at gene 5' and 3';Active TSS;Enhancers	Active TSS;Flanking Active TSS;Enhancers	ASB10	-0.0105	-0.00352380952380952	2.51114217741404e-45	3.96809461646022e-14	2.66020260201776e-49
chr3	195872233	195874283	2051	10	Island;Shore	Strong transcription;Genic enhancers	Strong transcription;Genic enhancers;Weak transcription	TNK2	-0.0149	-0.00656	9.90230660374219e-38	5.03826501698988e-15	3.10589625261197e-49
chr13	20773700	20774801	1102	9	Island;Shore	Active TSS;Enhancers;Weak transcription	Active TSS;Weak transcription	N6AMT2	-0.0181	-0.00632222222222222	7.28640193564007e-19	3.5216901e-31	3.55479813047564e-49
chr17	7289593	7290841	1249	5	Shore;Island	Enhancers	Enhancers		-0.0077	-0.00632	1.43676412362535e-48	7.75407577353251e-19	3.77847965737992e-49
chr1	43704548	43705760	1213	7	Shelf;Shore	Strong transcription;Weak transcription	Genic enhancers;Weak transcription	ST3GAL3;KDM4A;KDM4A-AS1	-0.0119	-0.00628571428571429	6.23732138309037e-36	4.0633033e-28	4.23210782845358e-49
chr5	150648990	150650155	1166	7	Shore;Island	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	SYNPO	-0.016	-0.00592857142857143	4.09980838798577e-36	4.2220871054103e-20	5.52499018040156e-49
chr12	124324445	124325387	943	9	Island	ZNF genes & repeats;Strong transcription	ZNF genes & repeats;Strong transcription	NCOR2	-0.0143	-0.00712222222222222	9.57649932467978e-43	6.17944740460183e-15	1.31650668424426e-48
chr17	80773379	80774693	1315	8	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	RPTOR	-0.0139	-0.0074625	5.85997909624631e-41	1.49072175957441e-16	1.50051913558799e-48
chr8	143944116	143946212	2097	20	Island;Shore	Transcr. at gene 5' and 3';Flanking Active TSS	Active TSS;Flanking Active TSS;Enhancers	PLEC;MIR661	-0.0107	-0.00285	2.93402088625179e-25	1.07727998001729e-16	2.4579656331086e-48
chr3	57293812	57293907	96	4	Open sea	Active TSS	Active TSS	DNAH12;ASB14	-0.0198	-0.015375	4.62628521460013e-49	1.55089609276333e-16	4.60789686333752e-48
chr16	46973574	46974785	1212	9	Island;Shore	Active TSS;Flanking Active TSS;Enhancers	Active TSS;Flanking Active TSS;Enhancers	RP11-169E6.1;DNAJA2;ENSG00000261173	-0.0221	-0.00493333333333333	3.94872028685548e-14	4.9375881e-44	5.92637660799694e-48
chr17	64006046	64008171	2126	11	Open sea	Flanking Active TSS;Enhancers	Active TSS;Enhancers	ICAM2	0.0062	0.00476363636363636	3.86789941431495e-48	1.94081084369889e-09	6.50727679003265e-48
chr10	683060	684015	956	9	Shelf;Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	DIP2C	-0.0099	-0.00605555555555556	9.78033502552933e-43	1.30207736251213e-16	6.54541320297821e-48
chr12	52008444	52011095	2652	19	Shore;Shelf	Flanking Active TSS;Enhancers;Transcr. at gene 5' and 3'	Flanking Active TSS;Enhancers	GRASP	0.0059	0.00416842105263158	2.69775105959033e-48	2.32530615073534e-08	7.08444392129282e-48
chr7	822789	823193	405	4	Shore;Island	Enhancers	Enhancers	SUN1	-0.0147	-0.010225	1.86780542440982e-43	2.05767959837873e-23	7.59911090601391e-48
chr1	228341211	228342783	1573	5	Open sea	Genic enhancers	Genic enhancers		-0.012	-0.0082	2.55774389164821e-40	1.10310999999261e-22	1.3767938662186e-47
chr14	104723062	104724525	1464	10	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	ADSSL1	-0.0094	-0.00344	3.87363460259277e-18	7.12646752498045e-19	2.6076232564544e-47
chr8	141417319	141418867	1549	6	Shore;Island	Flanking Active TSS;Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Active TSS	PTP4A3	-0.0114	-0.00401666666666667	3.53038559255122e-23	3.79510156451944e-28	3.89484665721678e-47
chr11	126265743	126267771	2029	5	Shelf;Shore	Strong transcription;Genic enhancers;Flanking Active TSS	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3'	SRPR;FOXRED1	-0.0149	-0.00772	5.62506421530828e-37	6.179065e-29	5.64561870325796e-47
chr4	184812203	184813443	1241	8	Open sea	Flanking Active TSS	Enhancers;Flanking Active TSS	RP11-701P16.2;ACSL1	-0.0146	-0.007025	2.75045257900695e-42	3.53936913292149e-13	8.34948438329434e-47
chr2	3460294	3461331	1038	5	Shelf	Flanking Active TSS;Enhancers	Enhancers	TRAPPC12	-0.0127	-0.00754	2.87171598554837e-36	4.01746312802158e-23	9.38344825973079e-47
